"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"BSE_EQ|INE0JMN01019","543519","SFSL","SHASHWAT FURNISHING SOLUTIONS","0.0","",,"0.01","3000","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0J2K01014","543520","GLHRL","GLOBAL LONGLIFE HOSPITAL AND R","34.93","",,"0.01","1000","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0L3H01014","543521","FONE4","FONE4 COMMUNICATIONS INDIA L","0.0","",,"0.01","10000","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0E5R01017","543522","NVENTURES","NANAVATI VENTURES LIMITED","39.37","",,"0.01","3000","EQUITY",,"BSE_EQ"
"BSE_EQ|INE020B01018","532955","RECLTD","REC LIMITED","526.55","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE961O01016","543524","RAINBOW","RAINBOW CHILDRENS MEDICARE LI","1549.6","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE625X01018","543525","SILVERTUC","SILVER TOUCH TECHNOLOGIES LIMI","717.05","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0J1Y01017","543526","LICI","LIFE INSURANCE CORPORATION OF","930.45","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE00F201020","543527","PRUDENT","PRUDENT CORPORATE ADVISORY SER","3577.65","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0JA001018","543528","VENUSPIPES","VENUS PIPES  TUBES LIMITED","1929.2","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE148O01028","543529","DELHIVERY","DELHIVERY LIMITED","364.9","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE088F01024","543530","PARADEEP","PARADEEP PHOSPHATES LIMITED","103.05","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE05CY01014","543531","TIERRA","TIERRA AGROTECH LIMITED","64.56","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE04TZ01018","543532","ETHOSLTD","ETHOS LIMITED","2975.4","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE178E01026","505650","SKYLMILAR","SKYLINE MILLARS LTD","19.96","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0BWX01014","543534","AETHER","AETHER INDUSTRIES LIMITED","852.45","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE642I01014","532957","GOKAKTEX","GOKAK TEXTILES LTD","212.65","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0KXN01014","543536","SILVERPRL","SILVER PEARL HOSPITALITY  LUX","0.0","",,"0.01","8000","EQUITY",,"BSE_EQ"
"BSE_EQ|INE0IXR01019","543537","SCARNOSE","SCARNOSE INTERNATIONAL LIMITED","0.0","",,"0.01","1000","EQUITY",,"BSE_EQ"
